# The Office Extended — 30 additional curated scenes
# Format: SHOW|CHARACTER|SETUP|RESPONSE|ARCHETYPE|TENSION|VIOLATION_DISTANCE|WHY_IT_WORKS
#
# ── STATUS_ASSERTION ──────────────────────────────────────────────────────────
The Office|Stanley Hudson|Stanley ignores Michael completely during an important announcement and returns to his crossword puzzle without looking up|Did you hear a word I just said?|power_inversion|status_threat|sharp|Total non-engagement from a subordinate — the power inversion is that Michael needs Stanley's attention more than Stanley needs Michael's approval
The Office|Jim Halpert|Jim explains quietly to the camera why the entire scheme Michael has proposed will fail within twenty minutes|That is the most optimistic version of events.|power_inversion|logic_collapse|mild|Prophetic understatement from the person with no formal power — the violation is that calm accuracy is more devastating than any argument
The Office|Oscar Martinez|Oscar tries to explain basic accounting to Michael using smaller and smaller words until Michael nods and announces he understood the first time|I see. Yes. Obviously. That is what I said.|power_inversion|logic_collapse|moderate|The expert's knowledge is rejected by the non-expert who claims to have had it first — the violation is the power to declare understanding belongs to the wrong person
#
# ── ANXIETY_ESCALATION ────────────────────────────────────────────────────────
The Office|Michael Scott|Michael hears the company might be sold and immediately starts planning which personal items he will take when he is escorted out of the building|I am going to need a box. A big one. For my World's Best Boss mug. And my diploma.|anxiety_escalation|existential|moderate|Catastrophic outcome treated as settled fact — the violation is the planning is more detailed than the threat is confirmed
The Office|Michael Scott|Michael gets a small medical diagnosis and immediately begins writing farewell letters to everyone in the office|I want people to remember me as I was. Young. Vital. A man in his prime.|anxiety_escalation|existential|sharp|Minor health news escalated to farewell mode — the violation is the gap between the diagnosis and the response is wider than the room
The Office|Dwight Schrute|Dwight discovers a bat in the office and immediately implements a full building evacuation protocol he wrote himself at home|This is not a drill. The bat is real. The bat has disease. We are all exposed.|anxiety_escalation|existential|sharp|Single low-threat animal becomes civilizational emergency — the violation is the protocol escalates faster than any information justifies
The Office|Michael Scott|Michael is told his car needs a minor repair and begins calculating how he will commute if the car never works again|What if the car is gone forever. What do I do then. I cannot walk. My legs are not built for it.|anxiety_escalation|logic_collapse|moderate|Minor mechanical issue collapsed into permanent lifestyle crisis — the violation is zero intermediate steps between problem and worst case
#
# ── SOCIAL_PERFORMANCE_FAIL ───────────────────────────────────────────────────
The Office|Michael Scott|Michael tries to give a speech at Phyllis's wedding and makes the entire event about himself within the first thirty seconds|Love. That is what I bring to this marriage. Not as a groom. But as the man who brought these two people together. Really, this is my wedding too.|social_fail|social_embarrass|sharp|Attempts to honour others, immediately absorbs the occasion — the violation is every move toward generosity curves back to self-reference
The Office|Michael Scott|Michael tries to conduct a performance review and cannot bring himself to say anything negative so tells everyone they are the best|Everyone here is the best at what they do. You are all tens.|social_fail|status_threat|moderate|Authority figure cannot perform the core function of authority — the violation is that the review is inverted into flattery to protect the reviewer
The Office|Michael Scott|Michael organises a casino night to raise money for charity and spends all the charity money at his own casino|I lost the money. But I had a great time.|social_fail|logic_collapse|sharp|The mechanism for helping others is used to harm the cause — the violation is the social performance completely defeats its stated purpose
The Office|Michael Scott|Michael attempts to do comedy at the office Christmas party and the only person laughing is himself|Okay. Here is one. Why did the accountant cross the road. To get to the other spreadsheet. Get it.|social_fail|social_embarrass|moderate|Performs comedy to a room that does not respond and continues without pausing — the violation is the absence of feedback registers as encouragement
The Office|Michael Scott|Michael tries to comfort Pam after a hard day by telling her a long story about himself having a harder day|I understand. I have been there. Let me tell you about the time I had a worse version of this exact thing happen to me.|social_fail|social_embarrass|moderate|Attempts empathy and immediately replaces it with autobiography — the violation is that comfort is redirected to compete with the person being comforted
#
# ── MISPLACED_CONFIDENCE ──────────────────────────────────────────────────────
The Office|Michael Scott|Michael confidently negotiates a business deal with zero preparation and announces he is a natural born closer before the meeting|I am a master negotiator. I once talked my way out of a speeding ticket by crying. That is negotiation.|misplaced_conf|logic_collapse|sharp|Claims expert status in a domain using evidence that disproves expertise — the violation is the example undermines the claim it was offered to support
The Office|Michael Scott|Michael decides to take the office on a wilderness survival team-building day despite never having been outdoors|I grew up in the wild. Well, the suburbs. But there were raccoons.|misplaced_conf|status_threat|moderate|Claims outdoor authority through proximity to nature at maximum remove — the violation is suburbs and wilderness are treated as equivalent credentials
The Office|Dwight Schrute|Dwight explains to the camera that he can read any person within six seconds of meeting them and proceeds to misread every person in the episode|I have never been wrong about a person. In my life. Not once.|misplaced_conf|identity_expose|sharp|Claims perfect social intelligence immediately before demonstrating its complete absence — the violation is the confidence rating and the evidence are in direct opposition
The Office|Michael Scott|Michael decides he will cook for the whole office and announces his dish is better than anything a restaurant could produce before anyone has tasted it|I have been told I am an excellent cook. By myself, but also by people who were hungry.|misplaced_conf|social_embarrass|moderate|Self-certification of cooking skill with a supporting witness who was hunger-motivated — the violation is the evidence is explicitly compromised by the person offering it
The Office|Michael Scott|Michael announces he can run a 5K without training because he once walked a very long distance in a parking lot|Running is basically just fast walking. And I am a great walker.|misplaced_conf|logic_collapse|moderate|Reduces a distinct physical discipline to a thing he already claims competence in — the violation is the equivalence is structurally convenient and factually wrong
